id;region_id;name;description;contact_number;address;website_link
435;3;SD BUNAYYA ISLAMIC SCHOOL;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Anisah dan operator yang bernama Ratna Levyana;(021) 5492869;Jl. Kebon Nanas II No.10, RT.3/RW.2, Grogol Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12210;-
436;3;SD BANGUN MANDIRI;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Arum Nawangwulan dan operator yang bernama RUSLANI;(021) 7869241;Jl. H.Mursid No.16, RT.4/RW.4, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520;-
437;3;SDI Al Azhar Syuhada;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Mardha Tresnowaty Putri dan operator yang bernama Ismanto;(021) 7873361;Jl. Raya Jagakarsa No.38 2, RT.9/RW.5, Jagakarsa, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12620;http://www.alazharsyuhada.sch.id/
438;3;SDIT Al Biruni;Sekolah ini memakai kurikulum merdeka. Sekolah ini memiliki kepala sekolah yang bernama Huriah dan operator yang bernama Dwi Kurniantoro;0878-8431-8795;Gg. Kancil I No.43, RT.4/RW.2, Lenteng Agung, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12610;https://sit-albirunilentengagung.sch.id/
439;3;SDS Muhammadiyah 5;Sekolah ini memakai kurikulum merdeka. Sekolah ini memiliki kepala sekolah yang bernama Ali Yusuf Syakir dan operator yang bernama MUHAMMAD IBNU FAJAR;(021) 7204683;Jl. Limau III No.3, RT.3/RW.3, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130;https://sdm5jakarta.sch.id/
440;3;SD ISLAM TAMAN QURANIYAH;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi B. Sekolah ini memiliki kepala sekolah yang bernama Sofia dan operator yang bernama RIZKY SAPUTRI;(021) 22765351;3, Gg. L No.3, RT.3/RW.4, Tj. Bar., Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12530;-
441;3;SD AL BAYYINAH MUHAMMADIYAH;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Aulia Rahman dan operator yang bernama Muhammad Zidan Raply;(021) 7271869;Jl. RM. Kahfi II RT.006/03 No. 78 Cipedak Jagakarsa-12630;https://albayyinahmuhammadiyah.sch.id/
442;3;SDIT AL FATHONAH;"SEKOLAH ISLAM TERPADU AL- FATHONAH merupakan lembaga pendidikan atau Sekolah Islam Terpadu di bawah naungan JSIT (Jaringan Sekolah Islam Terpadu) Indonesia, yang mempunyai dedikasi tinggi terhadap dunia pendidikan berkualitas. SEKOLAH ISLAM TERPADU AL-FATHONAH terdiri dari Sekolah Dasar dan taman kanak-kanak modern berbasis Ahlusunnah wal jama’ah.
SEKOLAH ISLAM TERPADU AL-FATHONAH berdiri pada tanggal 20 juni 2018 Terletak dijalan raya Lenteng Agung, Jakarta Selatan. Sekolah Islam Al Fathonah mengembangkan dan mengakusisi berbagai macam kultur pendidikan islam terpadu baik klasikal dan modern.
Terstruktur dibawah YAYASAN FATIH AL-FATHONAH NABAWI, nuansa keseharian yang kental dengan akhlak dan adab juga meliputi atmosfer lingkungan Sekolah Islam Terpadu Al Fathonah yang tidak hanya disiplin dalam ilmu dan pengetahuan, tapi juga dengan membangun ketakwaan kepada Allah Swt, serta menjalanlankan norma kesopanan sehari-hari.";0878-8909-1290;Jl. Lenteng Agung Raya, RT.1/RW.5, Lenteng Agung, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12610;https://alfathonah.sch.id/tentang-kami/
443;3;SDIT DAARUL HASANAH;Sekolah ini memakai kurikulum merdeka dan memiliki akreditasi A. Sekolah ini memiliki kepala sekolah yang bernama Abdullah dan operator yang bernama MUHAMMAD MUJAHIDIN EKO PRASETYO;(021) 7973101;Gg. Al Barkah, Jl. Wr. Jati Timur Raya No.61, RT.4/RW.3, Kalibata, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740;https://sditdaarulhasanahjkt.sch.id/
444;3;SDIT AL BAROKAH TAHFIZ SCHOOL;Sekolah ini memiliki kepala sekolah yang bernama Ali Abdurahman dan operator yang bernama Afrizal Nur Alfath;0813-1093-6900;JL. Swadarma Raya No. 10 Kelurahan Ulujami, Kecamatan Pesanggrahan RT 13 RW 03 Jakarta Selatan, DKI Jakarta;https://www.albarokahtahfizschool.sch.id/
